priority_rank,brand,model,missing_keyword,competitor_ranking,content_type_needed
1,VICTORY,MRX 150,moto enduro economica,Yamaha (XTZ 150 pages),blog_post
2,TVS,Raider 125,mejor moto 125cc para ciudad,Honda (CB125F pages),comparison
3,KTM,Duke 390,ktm duke 390 vs bmw g310r,BMW (G310R comparison pages),video_script
4,BAJAJ,Boxer CT 100,moto de trabajo barata colombia,AKT (NKD 125 pages),blog_post
5,HUSQVARNA,Norden 901,motos adventure premium colombia,BMW (GS lines),blog_post
6,TVS,Raider 125,tvs raider 125 vs yamaha ybr,Yamaha,blog_post
7,BAJAJ,Boxer CT 100,mejores motos para rappi 2026,Bloggers independientes,social_post
8,VICTORY,MRX 150,motos todoterreno baratas,Honda (XR 150 L),blog_post
9,KTM,Duke 390,velocidad maxima duke 390,Revistas independientes,blog_post
10,TVS,Raider 125,consumo real tvs raider 125,Canales YouTube,video_script
11,BAJAJ,Boxer CT 100,motos sin cuota inicial bogota,Concesionarios multimarca,landing_page
12,VICTORY,MRX 150,mrx 150 vs xtz 150,Foros de motos,comparison
13,HUSQVARNA,Norden 901,norden 901 vs africa twin,Revistas especializadas,blog_post
14,TVS,Raider 125,credito rapido para motos 125,Bancos (SUFI/BBVA),landing_page
15,KTM,Duke 390,motos naked a2 colombia,Blogs de A2,blog_post
16,VICTORY,MRX 150,como levantar una mrx 150,YouTube mecanicos,social_post
17,BAJAJ,Boxer CT 100,repuestos economicos motos,MercadoLibre,product_page
18,TVS,Raider 125,motos para principiantes,Blogs independientes,blog_post
19,HUSQVARNA,Norden 901,rutas offroad antioquia moto,Travel bloggers,social_post
20,KTM,Duke 390,mantenimiento ktm medellin,Talleres independientes,landing_page
