brand,model,keyword_es,intent_stage,monthly_volume_estimate,difficulty_estimate,current_auteco_coverage,competitor_ranking,content_type_needed
BAJAJ,Boxer CT 100,moto de trabajo barata colombia,INFORMATIONAL,Medium,Medium,Low,AKT,blog_post
BAJAJ,Boxer CT 100,precio boxer ct 100 2026,COMMERCIAL,High,High,High,Ninguno,product_page
BAJAJ,Boxer CT 100,boxer ct 100 credito sin cuota inicial,TRANSACTIONAL,High,Medium,Medium,AKT (con NKD),landing_page
TVS,Raider 125,mejor moto 125cc para ciudad,INFORMATIONAL,High,Hard,Low,Honda,comparison
TVS,Raider 125,tvs raider 125 vs yamaha ybr,COMMERCIAL,Medium,Medium,None,Yamaha,blog_post
TVS,Raider 125,comprar tvs raider online,TRANSACTIONAL,Low,Low,High,Ninguno,product_page
VICTORY,MRX 150,moto enduro economica,INFORMATIONAL,Medium,Hard,Low,Yamaha,blog_post
VICTORY,MRX 150,victory mrx 150 precio 2026,COMMERCIAL,High,Medium,High,Ninguno,product_page
VICTORY,MRX 150,repuestos victory mrx 150,COMMERCIAL,High,Low,Medium,MercadoLibre,blog_post
KTM,Duke 390,ktm duke 390 vs bmw g310r,INFORMATIONAL,Medium,Hard,None,BMW,video_script
KTM,Duke 390,ktm duke 390 top speed,INFORMATIONAL,High,Medium,None,Revistas,blog_post
KTM,Duke 390,financiamiento ktm colombia,TRANSACTIONAL,High,Medium,Medium,Bancos,landing_page
HUSQVARNA,Norden 901,motos adventure premium colombia,INFORMATIONAL,Low,Hard,None,BMW,blog_post
HUSQVARNA,Norden 901,husqvarna norden 901 prueba de manejo,TRANSACTIONAL,Low,Low,Medium,Ninguno,landing_page
HUSQVARNA,Norden 901,accesorios viaje norden 901,COMMERCIAL,Low,Low,Low,Tiendas 3rd party,social_post
