¿Dónde nos conocimos?,¿Cómo definiría a Daniel Cardona?,¿Me podés decir cuales son las 3 habilidades que más resuenan conmigo?,¿Cuáles son las 3 cosas que crees que debía mejorar en su momento?,"Por último, ¿Qué tipo de impacto tuvé en su vida? ¿aprendió algo de mí?","Le dije que era anónimo, pero si quiere que le responda las mismas preguntas solo déjeme su correo y probablemente le sorprenda la respuesta 💫",Submitted At,Token
TXT,"Es un gran vendedor, muy inteligente, inquieto, siempre explorando, con ganas de emprender, pero la gestión y seguimiento de proyectos en esa época le costaban un poco.

Por otro lado el man es un buen amigo y cómo persona tiene muchas cosas buenas, además que es buen parche.

Es una persona que recuerdo siempre.","Discurso es un gran contador de historias, investigador encuentra cosas en lugares que uno piensa que no existe, capacidad para construir relaciones (algo que yo casi no tengo)","Gestión y seguimiento, constancia, resiliencia (no es reinventarse en diferentes funciones, es la capacidad de adaptarse y jugar en el terreno que le pongan)","Si claro, una persona como Daniel siempre deja cosas buenas, en mi caso aprender a ser más fresco con los clientes, a mejorar los discursos de ventas y a pensar que siempre se puede ser más grande.",johay.rodriguez@gmail.com,15/1/2021 11:46:46,l0seqt4xp3eu3ozu8nwl0seqtwjzbj8j
Nos conocimos en Red Bull,"Dinámico, empírico, sonriente así no se las sepa busca la forma de convencer","Relacionista, innovador y crítico",Apertura a posturas diferentes en ciertos momentos,"Hay que aprender algo nuevo todos los días, no se puede parar!",jhernandez84@gmail.com,15/1/2021 11:59:16,he2b4v2ii1boz1q1sehe2b4qm4n7tp6g
Nos conocimos echando pica y pala en la mina (Philip Morris International),"Personaje extrovertido echao pa'lante sin prejuicios en su cabeza
No le come a nada ni a nadie y tiene gran habilidad para convencer.",1. Proactividad 2. Energía 3. Fluidez verbal,1. No hablar demás (el pez muere por la boca) 2. + Constancia 3. + Ejecución,Un impacto positivo...... siempre  con toda y hacia adelante :),segura.mauricio91@gmail.com,15/1/2021 13:34:31,8mwa1qawewge2csu433a38mwa1q9keeo
"Sistole , proceso de selección",Gran amigo. Papa de Gaby. Rebelde con muchas causas . Vendedor de humo. Desordenado.,"Rápido aprendizaje, simpático, buen comercial, Brillante",Profundizar en el contenido que está comercializando.  También mejorar la priorización y foco,Aprendí mucho y sigo aprendiendo .. aprendí a pasarla siempre bien pase lo que pase,tomas.portal@gmail.com,15/1/2021 15:48:03,q1n7ebo2udwrzriotsjq1njr68q1cl0s
Eres el hermano de una compañera muy pila que tuve en el MBA. En algún almuerzo hablábamos de trabajo y con entusiasmo me contó que su hermanito era colega... que estaba trabajando en una industria no tan chévere y que era pilísimo. Me pidió que recibiera tu HV y coincidía perfecto con el tipo de perfiles que mi agencia (sístole) buscaba en ese momento... Alguien que estuviera en capacidad de pensar en el trade marketing de la nueva era.  El proceso de selección fue fácil y ahí comenzamos lo nuestro jeje,"Encantador... Carretudo. Tiene una historia para cada cosa. Siempre tiene algo que decir... de lo que sea. Es un gran storyteller. Uno puede hablar con él por horas, emocionarse, aprender, descubrir, inspirarse.... Creo que esa puede ser su gran fortaleza y su gran debilidad. Dani tiene mucho que decir, pero como que se queda ahí... en el cuento. Como que abre una gran expectativa pero no concreta.   Más iniciativa que terminativa.",Curiosidad y capacidad para digerir gran cantidad de información DE TODO TIPO e interconectarla en formas impredecibles // Talento para relacionarse y abrir contactos a todo nivel // Versatilidad... Puedes asumir proyectos desde donde te pongan.,"1) Termina lo que comienzas con las mismas ganas con las que arrancas. Deliver what you promised porque de ti hablarán tus resultados, no tus ideas.  Comprométete con recorrer un camino de largo plazo, con lo que eso implique (asumir lo que te gusta y lo que no tanto). Me pareció que vendías más de lo que tu estabas dispuesto a dar, y te comprometías con más de lo que estabas dispuesto a entregar o sacrificar.  2) Calibra el “YO” en tu discurso… porque aunque eres en efecto un gran storyteller, a veces se te puede ver como alguien vanidoso o egocéntrico. Escucha más, mide el volumen según el momento y equilibra la balanza.  3) Comprométete con visión de largo plazo. Esto puede tener que ver con la búsqueda que estás haciendo en esta encuesta. Para los que estamos al lado tuyo es difícil enganchar con alguien que parece estar de paso, mirando por la ventana con ganas de saltar a algo mejor.","Valoro mucho tu confianza, tu franqueza y humildad en cosas como esta encuesta, o como las chochenta catarsis que hemos compartido, así no haya sido con vino sino con un escritorio de por medio. Envidio tu capacidad para saltar sin mente de un universo a otro, cómo te entregas al hoy… mi alma es de planner… no me setearon así.   Creo que estar al lado tuyo es abrir una caja de sorpresas, de risas, de historias. Creo que aunque estás loco eres un gran amigo y siempre te llevaré en mi llavero de cosas raras, y esperaré tenerte cerca cuando nos necesitemos.",mariacarolinalondono@hotmail.com,15/1/2021 19:39:28,i0mej1piq365dk6bxi0mej8fhrtf8bpx
Sístole,"Alegre, inteligente, habil para conseguir lo que quiere y mujeriego jajajaja",Inteligente / Habilidad de habla / Argumentación,Male genio / Paciencia / Grosero (aveces),"Pues tanto como aprender aprender.... claro que si!!! Aprendi berraquera, emprendimiento ganas de hacer las cosas y sobre todo de hacerlas bien y diferentes.",mate_tik@hotmail.com,15/1/2021 21:17:21,ztggyid4fwnjf4t5nuepztggybkjfb59
Convergys,"Una persona sensible, preocupada por si mismo y por los demás. Una persona muy cordial y que le puede sacar una sonrisa cuando hay un mal momento.","Buena actitud, positivo, agradable",Que carajos estas haciendo en CDMX. Donde tienes a tu hija?,Ser positivo en la vida. Afrontarla con una sonrisa.,daramos9@gmail.com,15/1/2021 21:39:34,77zfy0ovwq0ot13fv577zfy0ru5ruhv8
Fui uno de los líderes de la organización donde trabajaste en PMI,Un tipo con unas ganas importantes de crecer y de progresar y que estaba buscando hacer lo correcto por él y por su hij@,"Creatividad (para hacer el trabajo y buscar formas distintas de generar impacto), Capacidad para conectar con la gente","Creo que fui muy claro con lo que te dije en su momento. Uno debe crecer bien, algunas veces por el afán de crecer se toman decisiones a la ligera que no ayudan, El balance entre el Qué y el Cómo es importante en todos los aspectos de la vida, Es importante balancar la creatividad con la planificación y la ejecución. Eso lo vuelve a uno una persona muy valiosa para muchos aspectos de l avida profesional y personal, Las cosas toman tiempo, eso se aprende con los años.","Creo que me impactó (No lo vi en ese momento, sino ahora mucho tiempo después), una persona que estuviera luchando de esa forma en un momento muy ambiguo entre buscar la estabilidad personal con un afán de crecer profesionalmente, me parece algo muy chévere. Es una búsqueda interesante y un camino complejo. Muy diferente para todos los que lo caminan.",camilogiraldo@yahoo.com,15/1/2021 22:17:09,o1o5ldxd44hvxk6zeny03qo1o5ldx4zq
Te entreviste en PMI y te contraté de una!!,Un bacan!! Tipazo,"Agil, muy transparente, con criterio",NA,"Si, a siempre seguir luchando",mauricioheca.10@gmail.com,15/1/2021 22:38:48,bqwgsntea6wyv0stcbqwgsnu89l5b94t
PMI,"Original, extrovertido","Buen orador, creativo, recursivo",Arremangarse a hacer las tareas mamonas no está mal de vez en cuando.,Me enseñó una manera distinta de interrelacionarme con las personas. Me ha enseñado creatividad con su manera de expresarse (oral y escrita). Lo felicito por la forma en que redactó el email + esta encuesta.,,16/1/2021 0:37:29,8l2mtiee5wvh4hqqur8l2mti372bbbgm
