auteco_brand,auteco_model,competitor_brand,competitor_model,price_cop,spec_diff,positioning_message,channels,financing,vulnerability
BAJAJ,Boxer CT 100,AKT,NKD 125,"$4,790,000","Mayor cilindrada (125cc), estilo urbano clásico","La moto 125 más vendida de Colombia, perfecta para la ciudad.","Instagram, Tiendas retail (Alkosto)","Hasta 72 meses, sin cuota inicial","Solo tiene estilo clásico urbano, carece del renombre de resistencia infinita para trabajo duro que tiene Boxer."
BAJAJ,Boxer CT 100,Honda,Dream Neo 110,"$5,800,000","Menor peso, red de Honda","Tecnología HET para máximo ahorro.","Facebook, YouTube, Concesionarios","Crédito ProgreSER","Precio significativamente más alto sin ofrecer mayor potencia aparente para el trabajador."
BAJAJ,Boxer CT 100,Yamaha,YBR 125,"$6,100,000","Inyección electrónica (algunas versiones), marca premium","La leyenda japonesa comprobada en todas las rutas.","TikTok, Eventos rurales, Instagram","Crédito con Incolmotos","El precio la aleja del comprador de estrato 1-2 estrictamente enfocado en utilidad por peso exacto."
TVS,Raider 125,Hero,Ignitor 125,"$6,500,000","Tecnología i3S (Start-Stop), garantía más larga","Rendimiento inteligente que cuida tu bolsillo.","Radio, Meta Ads","Crédito directo en tienda","Diseño conservador; no alcanza el estilo 'Naked Bike' tecnológico de la Raider 125."
TVS,Raider 125,Suzuki,GN 125,"$6,900,000","Motor legendario de 2 válvulas, carburada","Un clásico que nunca falla para el trabajo.","Facebook Marketplace, Talleres","NO_DATA","Diseño de más de 20 años que no conecta con el joven primer comprador de 18-25 años."
TVS,Raider 125,Honda,CB125F,"$7,500,000","Confiabilidad Honda, tablero análogo vs digital","Tu primera moto con el ADN deportivo y urbano de Honda.","Instagram, YouTube","Crédito ProgreSER","Tablero muy sencillo y prestaciones justas comparadas con el tablero digital y conectividad TVS."
VICTORY,MRX 150,Yamaha,XTZ 150,"$11,500,000","Inyección electrónica, suspensión Monocross","Aventura diaria urbana con respaldo Yamaha.","Instagram, Patrocinios Enduro","CrediYamaha","Precio premium que deja fuera a muchos compradores de la MRX que buscan estilo Enduro económico."
VICTORY,MRX 150,Honda,XR 150 L,"$10,850,000","Motor más suave, torque a bajas RPM","Nacida para trabajar, lista para la aventura.","Facebook, TV Nacional","Crédito Fácil Banco de Bogotá","Alta incidencia de robo en algunas ciudades hace el seguro extremadamente costoso frente a Victory."
VICTORY,MRX 150,Suzuki,DR 150,"$11,300,000","Comodidad de asiento, parilla utilitaria","Explora sin límites con toda la tecnología Suzuki.","Grupos Facebook, Instagram","Financiación Sufi","Diseño más utilitario y menos agresivo/moderno para jóvenes frente a las líneas afiladas de MRX."
KTM,Duke 390,BMW Motorrad,G 310 R,"$29,990,000","Menos potencia (34 hp vs 44 hp), acabados BMW","Ingresa al mundo del motociclismo puro y dinámico.","Instagram Ads, YouTube","BMW Financial Services","Tiene 10 caballos de fuerza menos que la Duke 390, siendo drásticamente menos emocionante en pista."
KTM,Duke 390,Triumph,Speed 400,"$31,500,000","Estilo neo-retro, motor de carrera más larga","Pura potencia y estilo clásico británico moderno.","Eventos exclusivos, Instagram","Crédito BBVA Motos","Acercamiento conservador y retro que pierde contra la actitud hiper-agresiva 'Ready to Race' de KTM."
KTM,Duke 390,Ducati,Scrambler Sixty2,"NO_DATA","Solo mercado de usados en cilindrada baja","Expresión libre, espíritu motociclista italiano.","Grupos exclusivos, Instagram","NO_DATA","Carece de inventario nuevo en la baja/media cilindrada en Colombia, forzando compra de usados (2024)."
HUSQVARNA,Norden 901,BMW,F 900 GS,"$75,000,000","Electrónica más compleja y pesada orientada a ruta","Tecnologías de asistencia de última generación GS.","LinkedIn, Revista Motor","BMW Financial Services","Diseño polarizante y más convencional, pierde contra el estilo neo-retro único escandinavo de Norden."
HUSQVARNA,Norden 901,Yamaha,Ténéré 700,"$62,000,000","Electrónica básica (purista), sin Quickshifter","El próximo horizonte es tuyo. Todo terreno genuino.","YouTube Off-road, Instagram","Yamaha Financia","Carece de control de tracción avanzado y Modos de Manejo, siendo muy rígida comparada con la Norden."
HUSQVARNA,Norden 901,Honda,Africa Twin,"$78,000,000","Caja automática DCT opcional, más torque","La leyenda de las dunas vuelve recargada.","Revistas especializadas","Crédito Premium Honda","El peso y el precio son significativamente más altos para el mismo tipo de uso de turismo aventura."
