Nombre del Componente,Tipo de Componente,Plugin,Comandos y Disparadores,Modelo de Scoring/Framework,Conexión PULSO (Inferred),Fuente
icp-analysis,Skill,growth-foundations,"""ICP"", ""ideal customer profile"", ""target market"", ""customer segmentation"", ""qualify accounts""",ICP Scoring Model (0-100),"Utiliza PULSO para diagnosticar los mejores clientes actuales y construir las categorías de scoring analizando Fit, Pain Match, Impact Potential, Decision Readiness y Critical Event.",[1-5]
discovery-mastery,Skill,sales-blueprint,"""discovery call"", ""PULSO"", ""qualifying opportunity"", ""sales discovery"", ""ACE opening""",PULSO Score (5-30) + ACE Opening,"Framework central para diagnosticar Situation, Pain, Impact, Critical Event y Decision durante la llamada inicial y calificar oportunidades.","[1-3, 5-7]"
quiz-funnel,Skill,growth-foundations,/quiz,ASK Method / Scoring de Buckets (0-100) / Diagnostic Scoring,"Actúa como mecanismo de autodiagnóstico interactivo que segmenta prospectos capturando el SMIQ (Pain), urgencia (Critical Event) y contexto (Situation) antes de la llamada.","[7, Descripción del Usuario]"
pipeline-management,Skill,sales-blueprint,"""pipeline review"", ""deal health"", ""pipeline health"", ""deal scoring"", ""forecast"", ""stuck deals""",Modelo Bowtie + Health Indicators / PULSO scoring,"Utiliza el score PULSO acumulado para determinar la salud de los deals, la probabilidad de cierre en el pipeline y gestionar el flujo de ventas.","[1-3, 6, 7]"
proposal-generation,Skill,sales-blueprint,"""proposal"", ""propuesta"", ""SOW"", ""business case"", ""cotización""",Trading Checklist (9 pasos) / Prerrequisito PULSO >= 23,"Requiere un score mínimo para generar la propuesta, la cual se estructura como un caso de negocio que conecta el diagnóstico de Situation, Pain, Impact y Critical Event.","[1-3, 7, 8]"
deal-strategist,Agent,sales-blueprint,Review de deals activos / Disparador: Análisis de deals activos,Risk Matrix / PULSO Crítico / Buying Center Strategy,Analiza deals existentes con escepticismo para identificar vacíos de información o riesgos en las dimensiones de Decision o Critical Event.,"[1-3, 7, 8]"
sdr-agent,Agent,sales-blueprint,Invocación directa / prospecting workflows,Hipótesis PULSO / Tiering de Prospectos,Realiza investigación previa para construir una hipótesis de Situation y Pain antes del primer contacto con el prospecto.,"[1-3, 7, 8]"
coaching-cadence,Skill,sales-blueprint,"""coaching"", ""1:1"", ""REKS"", ""sales coaching"", ""rep performance""","REKS (Results, Effort, Knowledge, Skills)",Evalúa la habilidad del vendedor para ejecutar el diagnóstico PULSO y diagnostica si los problemas de performance radican en dichas habilidades.,"[1-3, 6, 7]"
positioning,Skill,growth-foundations,"""positioning"", ""value proposition"", ""messaging"", ""differentiation"", ""product positioning""",Value Proposition Canvas,Genera el messaging framework base que resuena con los dolores (Pain) e impactos (Impact) identificados para el motor de copywriting.,"[1-4, 6]"
headline-mastery,Skill,copywriting-engine,"""headline"", ""título"", ""subject line"", ""hook"", ""genera titulares""",Headline Scoring (>7.5/10) / 50 Fórmulas,"Crea ganchos de atención basados en el Pain, la Power Promise (Impact) o eventos críticos (Critical Event) del framework PULSO.","[1-3, 5, 9, 10]"
email-sequences,Skill,copywriting-engine,"""email sequence"", ""secuencia de emails"", ""drip campaign"", ""cold email"", ""nurture sequence""",Persuasion Ladder (7 emails),"Estructura los correos para escalar desde el Pain hasta la Urgencia vinculada al Critical Event, educando sobre el Impacto para mover a la Decision.","[1-3, 6, 9]"
landing-pages,Skill,copywriting-engine,"""landing page"", ""página de ventas"", ""conversion copy"", ""sales page"", ""above the fold""",Conversion Architecture (10 secciones) / Conversion Ladder,"Traduce el diagnóstico PULSO en una narrativa de conversión: Hero (Impact), Problema (Pain) y Solución (Situation) con validación de resultados.","[1-3, 6, 9]"
psychological-triggers,Skill,copywriting-engine,"""psychological trigger"", ""trigger psicológico"", ""persuasión"", ""scarcity"", ""social proof""",Trigger Leverage Score (1-10) / 10 Triggers,Selecciona disparadores como Scarcity o Urgency para acelerar el Critical Event y facilitar la Decision de compra detectada.,"[1-3, 5, 9]"
/icp,Command,growth-foundations,/icp [contexto/industria],Workshop interactivo (6 fases) / ICP Scoring Model,Guía al usuario a través de las dimensiones PULSO para definir y segmentar el perfil de cliente ideal a escala.,[2-4]
/diagnostico,Command,growth-foundations,/diagnostico [empresa],ClarQ (0-40),Evalúa la madurez operacional (Situation/Capabilities) necesaria para que el prospecto pueda ejecutar la solución y capturar el Impact tras la Decision.,[1-5]
competitive-analysis,Skill,growth-foundations,"""competitive analysis"", ""competitors"", ""market landscape"", ""competitive intelligence"", ""market map""",Five Forces de Porter / Battle cards,Identifica alternativas al status quo para defender la Decision y contrastar la Situation frente a criterios de la competencia.,"[1-4, 6]"
Research Agent,Agent,copywriting-engine,/copy (Fase 1),Quality Gate (Completeness/Depth/Accuracy),Recopila la inteligencia de mercado y hechos de la Situation necesarios para identificar los Pains y Desires (Impact) de la audiencia.,"[1-3, 8, 9]"
Insight Agent,Agent,copywriting-engine,/copy (Fase 2),Copy Leverage Score / Pain Priority / Messaging Strategy,Transforma los datos recopilados en prioridades de Dolor (Pain) con mayor impacto para definir la estrategia de messaging.,"[1-3, 8, 9]"
Ideation Agent,Agent,copywriting-engine,/copy (Fase 3),Concept Evaluation Matrix / Selection,Genera ángulos creativos y conceptos centrados en el resultado deseado (Impact) emocional y racional para el prospecto.,"[1-3, 8, 9]"
Copy Output Agent,Agent,copywriting-engine,/copy (Fase 4),Copy Quality Score (0-10),Produce el material final asegurando que integre disparadores de Urgencia alineados con la Decision y el Critical Event del prospecto.,"[1-3, 5, 8, 9]"
